zipcode,city,neighborhood,price_tier,median_price_usd,avg_grade,notes
98001,Auburn,Auburn South,low,245000,6,"Área residencial suburbana ao sul de Seattle. Bom custo-benefício para famílias."
98002,Auburn,Auburn North,low,235000,6,"Um dos zipcodes mais acessíveis de King County. Próximo ao aeroporto de Auburn."
98003,Federal Way,Federal Way West,low,255000,6,"Comunidade diversificada. Acesso fácil à I-5. Boas opções para compradores de primeira viagem."
98004,Bellevue,Bellevue Downtown,luxury,1108000,9,"Coração de Bellevue. Alta concentração de executivos de tech. Preços entre os mais altos do condado."
98005,Bellevue,Bellevue East,high,765000,8,"Bellevue leste, próximo a empresas de tecnologia. Alta demanda por parte de profissionais de TI."
98006,Bellevue,Bellevue Southeast,high,757000,8,"Vizinhança tranquila com boas escolas. Popular entre famílias de alta renda."
98007,Bellevue,Bellevue Central,mid_high,580000,8,"Acesso a parques e lago. Boa infraestrutura de transporte."
98008,Bellevue,Bellevue North,mid_high,595000,8,"Próximo ao Bellevue Square. Área em valorização contínua."
98010,Black Diamond,Black Diamond,mid,335000,7,"Área semirrural com casas maiores. Atrativa para quem busca espaço fora do centro."
98014,Carnation,Carnation,mid,345000,7,"Vale do Snoqualmie. Paisagem rural, popular entre amantes da natureza."
98019,Duvall,Duvall,mid,340000,7,"Cidade pequena com atmosfera comunitária. Boa relação espaço/preço."
98022,Enumclaw,Enumclaw,low_mid,295000,6,"Pé das montanhas Cascade. Imóveis grandes com lotes generosos."
98023,Federal Way,Federal Way North,low,250000,6,"Área de alta densidade. Infraestrutura completa mas preços pressionados pelo volume."
98024,Fall City,Fall City,mid_high,475000,7,"Bairro exclusivo no vale do Snoqualmie. Casas em lotes grandes, privacidade."
98027,Issaquah,Issaquah West,mid_high,510000,8,"Próximo ao Cougar Mountain. Excelentes escolas. Alta demanda familiar."
98028,Kenmore,Kenmore,mid,420000,7,"Beira do Lake Washington norte. Vistas para o lago em algumas propriedades."
98029,Issaquah,Issaquah Highlands,mid_high,565000,8,"Comunidade planejada moderna. Alta qualidade de construção (grade médio 8.2)."
98030,Kent,Kent East,low,260000,6,"Principal cidade industrial do vale de Kent. Mercado acessível."
98031,Kent,Kent West,low,270000,6,"Área de transição. Boa conectividade de transporte público."
98032,Kent,Kent North,low,263000,6,"Próximo ao centro histórico de Kent. Casas mais antigas, custo baixo."
98033,Kirkland,Kirkland,high,735000,8,"Orla do Lake Washington. Restaurantes, marinas. Muito disputado por profissionais de tech."
98034,Kirkland,Kirkland North,mid_high,535000,8,"Juanita e Kingsgate. Boas escolas, acesso ao lago. Crescimento consistente."
98038,Maple Valley,Maple Valley,mid,380000,7,"Subúrbio em crescimento rápido. Novas construções dominam o mercado."
98039,Medina,Medina,luxury,2160000,10,"O zipcode mais caro de King County. Mansões à beira do Lake Washington. Vizinhança de Bill Gates."
